t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
235,6.35,221.859,7.024,15.825,1.275,351.79,,,,,,,,,,,,,,,,
236,6.39,172.434,6.93,15.783,1.223,377.64,,,,,,,,,,,,,,,,
237,6.34,186.97,6.24,17.525,1.196,361.27,,,,,,,,,,,,,,,,
238,6.32,187.686,7.112,16.16,1.165,365,,,,,,,,,,,,,,,,
239,6.4,185.081,6.648,16.5,1.157,365.55,,,,,,,,,,,,,,,,
240,6.39,214.448,6.491,15.767,1.149,359.18,,,,,,,,,,,,,,,,
241,6.34,173.38,4.238,16.692,1.1,369.99,,,,,,,,,,,,,,,,
242,6.35,219.018,4.532,14.6,1.08,358.15,,,,,,,,,,,,,,,,
243,6.29,131.494,5.119,11.119,1.051,343.61,,,,,,,,,,,,,,,,
244,6.33,136.326,5.095,11.669,1.049,362.84,,,,,,,,,,,,,,,,
245,6.31,156.884,5.953,12.439,1.047,345.71,,,,,,,,,,,,,,,,
246,6.41,138.966,5.552,10.981,1.031,369.53,,,,,,,,,,,,,,,,
247,6.45,130.498,4.97,11.367,1.031,363.38,,,,,,,,,,,,,,,,
248,6.41,150.137,7.134,12.867,1.041,374.22,,,,,,,,,,,,,,,,
249,6.32,168.63,5.394,9.79,1.034,350.84,,,,,,,,,,,,,,,,
250,6.28,123.666,5.37,8.406,1.035,353.37,,,,,,,,,,,,,,,,
251,6.3,170.207,5.65,11.315,1.043,363.9,,,,,,,,,,,,,,,,
252,6.31,146.045,6.943,12.71,1.043,362.93,,,,,,,,,,,,,,,,
253,6.36,178.496,9.334,13.732,1.027,400.56,,,,,,,,,,,,,,,,
254,6.29,145.485,7.142,12.036,1.017,380.99,,,,,,,,,,,,,,,,
255,6.31,175.795,8.471,9.41,1.016,379.71,,,,,,,,,,,,,,,,
256,6.38,116.39,6.822,9.301,1.012,369.73,,,,,,,,,,,,,,,,
257,6.44,131.527,5.708,10.699,1.02,381.64,,,,,,,,,,,,,,,,
258,6.42,130.748,7.633,10.822,1.014,405.85,,,,,,,,,,,,,,,,
259,6.37,123.502,4.776,10.365,1.011,381.74,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,
261,6.49,184.039,7.967,11.075,1.021,362.58,,,,,,,,,,,,,,,,
