t_d,pH,COD_mg/L,NH3_N_mg/L,TN_mg/L,TP_mg/L,qvm_L/s,,,,,,,,,,,,,,,,
983,6.804,88.231,6.952,8.8,1.245,381.22,,,,,,,,,,,,,,,,
984,6.727,105.056,11.255,13.174,1.359,386.4,,,,,,,,,,,,,,,,
985,6.83,116.344,10.978,10.801,1.394,383.53,,,,,,,,,,,,,,,,
986,6.796,135.072,13.991,18.595,1.594,388.93,,,,,,,,,,,,,,,,
987,6.746,142.676,9.002,10.786,1.227,393.04,,,,,,,,,,,,,,,,
988,6.556,102.902,7.314,9.634,1.121,395.66,,,,,,,,,,,,,,,,
989,6.611,135.881,8.788,12.611,1.122,384.9,,,,,,,,,,,,,,,,
990,6.722,180.161,9.243,8.997,1.121,388.23,,,,,,,,,,,,,,,,
991,6.653,217.394,9.264,8.5,1.106,391.64,,,,,,,,,,,,,,,,
992,6.637,129.839,9.611,10.929,1.128,387.23,,,,,,,,,,,,,,,,
993,6.668,52.781,9.456,8.825,1.115,385.27,,,,,,,,,,,,,,,,
994,6.692,43.637,7.235,8.076,1.103,384.08,,,,,,,,,,,,,,,,
995,6.734,50.633,8.777,8.192,1.109,388.39,,,,,,,,,,,,,,,,
996,6.707,70.546,9.236,19.395,1.552,384.56,,,,,,,,,,,,,,,,
997,6.681,66.409,10.535,20.997,1.702,390.24,,,,,,,,,,,,,,,,
998,6.73,136.626,11.21,18.392,1.872,393.31,,,,,,,,,,,,,,,,
999,6.82,81.549,11.821,16.722,1.55,390.05,,,,,,,,,,,,,,,,
1000,6.769,60.004,10.34,14.659,1.46,382.18,,,,,,,,,,,,,,,,
1001,6.863,54.548,10.687,16.236,1.576,388.94,,,,,,,,,,,,,,,,
1002,6.866,67.492,11.097,14.709,1.614,391.42,,,,,,,,,,,,,,,,
1003,6.755,81.406,12.987,17.296,1.725,394.83,,,,,,,,,,,,,,,,
1004,6.712,76.215,12.217,13.488,1.655,387.45,,,,,,,,,,,,,,,,
1005,6.66,73.912,10.534,14.117,1.372,391.37,,,,,,,,,,,,,,,,
1006,6.684,88.834,13.495,14.253,1.393,392.88,,,,,,,,,,,,,,,,
1007,6.686,82.698,14.162,15.65,1.437,389.58,,,,,,,,,,,,,,,,
1008,6.812,115.627,15.329,17.348,1.552,385.97,,,,,,,,,,,,,,,,
1009,6.828,99.882,16.236,17.638,1.608,387.14,,,,,,,,,,,,,,,,
1010,6.784,102.256,15.199,15.472,1.575,389.3,,,,,,,,,,,,,,,,
1011,6.72,93.857,14.845,16.686,1.501,388.39,,,,,,,,,,,,,,,,
1012,6.829,81.622,12.686,14.289,1.246,391.57,,,,,,,,,,,,,,,,
1013,6.815,79.771,11.82,15.926,1.248,385.31,,,,,,,,,,,,,,,,
1014,6.792,77.934,11.542,18.331,1.265,380.98,,,,,,,,,,,,,,,,
1015,6.821,80.466,12.205,17.677,1.312,390.15,,,,,,,,,,,,,,,,
1016,5.697,80.835,11.667,16.323,1.227,296.46,,,,,,,,,,,,,,,,
1017,6.378,70.775,9.751,12.512,1.086,388.46,,,,,,,,,,,,,,,,
1018,6.302,77.062,11.254,12.097,1.102,385.61,,,,,,,,,,,,,,,,
1019,6.275,89.215,12.228,15.341,1.343,384.3,,,,,,,,,,,,,,,,
1020,6.341,87.96,10.996,14.346,1.151,384.69,,,,,,,,,,,,,,,,
1021,6.391,87.214,11.049,13.502,1.133,386.63,,,,,,,,,,,,,,,,
1022,6.446,80.508,11.159,13.408,1.16,389.74,,,,,,,,,,,,,,,,
1023,6.49,84.581,10.929,14.854,1.06,384.73,,,,,,,,,,,,,,,,
1024,6.583,83.885,13.711,13.701,1.061,389.26,,,,,,,,,,,,,,,,
1025,6.621,98.356,9.962,11.544,0.918,387.38,,,,,,,,,,,,,,,,
1026,6.525,67.792,13.524,13.884,1.04,389.44,,,,,,,,,,,,,,,,
1027,6.727,78.683,12.457,15.881,1.12,390.3,,,,,,,,,,,,,,,,
1028,6.599,83.904,10.292,13.565,0.985,387.23,,,,,,,,,,,,,,,,
1029,6.625,71.621,8.931,10.931,0.953,389.42,,,,,,,,,,,,,,,,
1030,6.633,141.743,10.304,15.643,1.59,387.36,,,,,,,,,,,,,,,,
1031,6.637,77.171,10.193,13.996,1.187,388.73,,,,,,,,,,,,,,,,
1032,6.676,81.543,10.311,12.606,1.051,386.78,,,,,,,,,,,,,,,,
1033,6.682,86.269,11.021,12.749,1.319,393.49,,,,,,,,,,,,,,,,
1034,6.695,82.172,12.575,10.123,1.015,387.34,,,,,,,,,,,,,,,,
1035,6.752,65.843,10.258,9.776,0.729,388.8,,,,,,,,,,,,,,,,
1036,6.733,61.743,10.009,11.686,1.038,387.03,,,,,,,,,,,,,,,,
1037,6.731,56.378,9.787,15.38,1.417,388.49,,,,,,,,,,,,,,,,
1038,6.789,52.646,10.135,16.414,1.419,389.38,,,,,,,,,,,,,,,,
1039,6.826,48.919,9.45,13.16,1.353,388.17,,,,,,,,,,,,,,,,
1040,6.935,58.677,9.613,12.087,1.308,388.26,,,,,,,,,,,,,,,,
1041,6.899,63.231,11.937,9.433,1.137,390.58,,,,,,,,,,,,,,,,
1042,6.956,77.612,8.866,9.854,1.241,388.15,,,,,,,,,,,,,,,,
1043,6.873,66.676,12.847,10.72,1.168,388.97,,,,,,,,,,,,,,,,
1044,6.837,52.706,10.181,13.035,1.177,389.81,,,,,,,,,,,,,,,,
1045,6.96,64.761,10.411,9.729,1.03,391.42,,,,,,,,,,,,,,,,
1046,6.898,61.38,9.672,8.57,1.017,387.78,,,,,,,,,,,,,,,,
1047,6.82,65.066,10.072,7.43,1.063,388.39,,,,,,,,,,,,,,,,
1048,6.717,67.086,10.501,11.624,1.154,389.99,,,,,,,,,,,,,,,,
1049,6.752,60.301,10.079,10.697,1.087,389.38,,,,,,,,,,,,,,,,
1050,6.716,57.736,10.453,10.748,1.042,384.93,,,,,,,,,,,,,,,,
1051,6.715,56.103,10.606,9.467,1.085,389.91,,,,,,,,,,,,,,,,
1052,6.915,65.267,11.14,7.32,0.859,385.22,,,,,,,,,,,,,,,,
1053,6.955,65.813,11.058,16.046,0.923,391.69,,,,,,,,,,,,,,,,
1054,6.918,68.913,10.636,17.337,0.932,391.53,,,,,,,,,,,,,,,,
1055,6.954,70.073,10.126,16.534,0.958,391.78,,,,,,,,,,,,,,,,
1056,6.936,62.23,10.056,14.872,0.976,386.87,,,,,,,,,,,,,,,,
1057,6.955,61.846,10.131,16.67,1.021,387.91,,,,,,,,,,,,,,,,
1058,6.951,62,10.362,12.239,0.973,388.37,,,,,,,,,,,,,,,,
1059,6.917,64.735,11.269,11.856,0.876,384.97,,,,,,,,,,,,,,,,
1060,6.968,59.167,10.801,11.314,0.827,387.47,,,,,,,,,,,,,,,,
1061,6.937,141.252,11.376,13.882,1.408,367.22,,,,,,,,,,,,,,,,
1062,6.907,71.267,11.799,10.427,0.738,385.63,,,,,,,,,,,,,,,,
1063,6.876,63.568,10.714,8.807,0.757,321.99,,,,,,,,,,,,,,,,
1064,7.093,66.797,11.037,9.165,0.775,370.51,,,,,,,,,,,,,,,,
1065,6.948,84.061,12.93,10.033,0.8,386.7,,,,,,,,,,,,,,,,
1066,7.018,86.085,13.68,11.299,0.794,390.48,,,,,,,,,,,,,,,,
1067,7.025,77.256,13.105,10.666,0.824,387.19,,,,,,,,,,,,,,,,
1068,6.964,105.077,13.952,9.898,0.972,384.67,,,,,,,,,,,,,,,,
1069,6.933,81.865,13.081,9.856,1.1,392.75,,,,,,,,,,,,,,,,
1070,6.913,92.956,13.477,12.331,1.367,386.46,,,,,,,,,,,,,,,,
1071,7.029,88.527,14.51,16.695,1.692,368.16,,,,,,,,,,,,,,,,
1072,6.985,69.571,10.71,11.008,1.321,353.76,,,,,,,,,,,,,,,,
1073,6.98,100.773,15.071,9.743,1.243,386.66,,,,,,,,,,,,,,,,
1074,6.914,99.143,14.507,9.221,1.198,368.57,,,,,,,,,,,,,,,,
1075,7.034,74.391,10.608,8.972,1.208,376.58,,,,,,,,,,,,,,,,
1076,6.936,75.913,10.376,9.404,1.194,370.37,,,,,,,,,,,,,,,,
1077,6.94,79.777,11.701,9.394,1.248,366.96,,,,,,,,,,,,,,,,
1078,6.974,63.162,12.358,11.654,1.187,375.46,,,,,,,,,,,,,,,,
1079,6.955,81.139,12.982,13.407,1.207,368.7,,,,,,,,,,,,,,,,
1080,7.019,76.943,13.672,14.401,1.235,368.66,,,,,,,,,,,,,,,,
1081,7.007,83.778,13.806,13.768,1.223,367.51,,,,,,,,,,,,,,,,
1082,6.871,90.001,13.876,12.61,1.157,369.37,,,,,,,,,,,,,,,,
1083,7.079,92.279,13.128,13.279,1.165,365.67,,,,,,,,,,,,,,,,
1084,7.038,88.645,13.493,13.577,1.16,369.56,,,,,,,,,,,,,,,,
1085,7.005,82.402,12.22,13.408,1.187,372.91,,,,,,,,,,,,,,,,
1086,7.019,85.977,12.464,14.866,1.129,367.74,,,,,,,,,,,,,,,,
1087,6.955,91.432,12.695,14.949,1.194,366.58,,,,,,,,,,,,,,,,
1088,7.085,91.96,12.203,16.023,1.247,370.83,,,,,,,,,,,,,,,,
1089,7.01,84.62,13.092,14.258,1.258,360.56,,,,,,,,,,,,,,,,
1090,7.007,78.677,12.804,14.061,1.175,360.29,,,,,,,,,,,,,,,,
1091,6.987,78.699,12.299,14.262,1.175,374.36,,,,,,,,,,,,,,,,
1092,7.038,151.664,14.791,15.064,1.549,375.65,,,,,,,,,,,,,,,,
1093,7.065,74.186,13.664,14.93,1.104,344.72,,,,,,,,,,,,,,,,
1094,6.924,83.083,13.668,14.139,1.178,372.24,,,,,,,,,,,,,,,,
1095,6.554,83.788,14.001,13.277,1.11,362.3,,,,,,,,,,,,,,,,
1096,6.662,81.535,13.973,15.941,1.387,371.01,,,,,,,,,,,,,,,,
1097,6.894,71.169,12.241,16.456,1.285,371.54,,,,,,,,,,,,,,,,
1098,6.88,63.158,10.714,16.294,1.526,363.89,,,,,,,,,,,,,,,,
1099,6.999,55.645,10.283,16.795,1.365,371.1,,,,,,,,,,,,,,,,
1100,6.867,58.207,10.345,15.168,1.404,362.08,,,,,,,,,,,,,,,,
1101,6.746,57.905,10.301,12.804,1.391,362.8,,,,,,,,,,,,,,,,
1102,6.766,66.275,10.351,12.322,1.284,360.95,,,,,,,,,,,,,,,,
1103,6.742,79.654,9.357,12.28,1.37,365.57,,,,,,,,,,,,,,,,
1104,6.735,107.932,8.022,12.644,1.136,371.33,,,,,,,,,,,,,,,,
1105,6.772,105.764,4.663,,,382.32,,,,,,,,,,,,,,,,
1106,6.797,127.492,7.932,2.467,0.171,363.05,,,,,,,,,,,,,,,,
1107,7.048,111.293,9.888,14.351,1.25,366.74,,,,,,,,,,,,,,,,
1108,7.084,112.416,10.555,18.67,1.555,371.15,,,,,,,,,,,,,,,,
1109,7.019,99.519,9.794,15.719,1.473,366.54,,,,,,,,,,,,,,,,
1110,7.069,81.838,10.16,16.535,1.51,367.5,,,,,,,,,,,,,,,,
1111,6.981,67.427,9.436,14.173,1.344,370.86,,,,,,,,,,,,,,,,
1112,6.871,63.015,9.643,15.606,1.263,367.97,,,,,,,,,,,,,,,,
1113,6.902,61.547,9.59,13.544,1.307,365.84,,,,,,,,,,,,,,,,
1114,6.945,62.204,9.943,13.361,1.071,361.56,,,,,,,,,,,,,,,,
1115,6.892,64.116,10.268,12.123,1.101,365.65,,,,,,,,,,,,,,,,
1116,6.395,54.551,9.356,10.486,1.013,233.98,,,,,,,,,,,,,,,,
1117,7.204,59.057,9.906,6.163,0.632,363.69,,,,,,,,,,,,,,,,
1118,7.16,56.581,9.901,7.21,0.63,363.58,,,,,,,,,,,,,,,,
1119,6.996,58.523,7.944,11.424,1.041,367.42,,,,,,,,,,,,,,,,
1120,6.995,56.471,10.026,14.001,1.26,368.9,,,,,,,,,,,,,,,,
1121,7.007,59.493,10.118,10.98,1.025,365.36,,,,,,,,,,,,,,,,
1122,7.14,125.026,9.768,13.431,1.467,373.18,,,,,,,,,,,,,,,,
1123,6.816,67.136,8.746,11.103,0.885,382.81,,,,,,,,,,,,,,,,
1124,6.675,64.76,9.466,11.503,0.831,367.03,,,,,,,,,,,,,,,,
1125,6.995,62.784,8.799,11.158,0.774,367.78,,,,,,,,,,,,,,,,
1126,7.068,60.582,8.867,12.446,1.013,368.9,,,,,,,,,,,,,,,,
1127,7.044,44.339,7.54,11.247,0.984,368.97,,,,,,,,,,,,,,,,
1128,7.039,29.34,6.522,11.386,1.015,370.96,,,,,,,,,,,,,,,,
1129,6.882,38.933,7.385,12.15,0.947,375.91,,,,,,,,,,,,,,,,
1130,7.109,60.735,8.387,11.85,0.957,368.24,,,,,,,,,,,,,,,,
1131,6.925,66.419,9.289,9.335,0.929,368.31,,,,,,,,,,,,,,,,
1132,7.033,81.044,10.812,6.754,0.824,368.66,,,,,,,,,,,,,,,,
1133,6.994,77.375,13.533,6.782,0.877,361.21,,,,,,,,,,,,,,,,
1134,7.039,91.163,14.797,10.878,0.917,362.3,,,,,,,,,,,,,,,,
1135,7.099,80.399,13.129,16.054,1.071,364.53,,,,,,,,,,,,,,,,
1136,7.047,83.564,10.572,15.351,1.074,361.24,,,,,,,,,,,,,,,,
1137,6.994,77.176,9.846,20.71,1.096,365.13,,,,,,,,,,,,,,,,
1138,6.952,77.313,8.791,16.351,1.154,366.79,,,,,,,,,,,,,,,,
1139,6.955,73.42,9.615,13.362,1.008,367.43,,,,,,,,,,,,,,,,
1140,7.02,80.62,10.349,13.486,0.974,362,,,,,,,,,,,,,,,,
1141,7.085,79.503,9.846,18.93,0.981,368.55,,,,,,,,,,,,,,,,
1142,7.168,83.631,9.981,20.984,0.935,365.4,,,,,,,,,,,,,,,,
1143,7.042,76.118,9.344,20.401,0.922,368.19,,,,,,,,,,,,,,,,
1144,7.01,81.134,9.629,18.695,1.212,371.43,,,,,,,,,,,,,,,,
1145,7.163,78.445,8.9,14.589,1.137,367.24,,,,,,,,,,,,,,,,
1146,7.11,78.846,9.248,18.936,1.13,371.61,,,,,,,,,,,,,,,,
1147,7.067,91.371,10.89,13.053,1.126,365.62,,,,,,,,,,,,,,,,
1148,7.114,89.059,8.178,10.757,0.944,362.27,,,,,,,,,,,,,,,,
1149,7.209,83.239,9.153,12.976,1.024,371.91,,,,,,,,,,,,,,,,
1150,7.205,80.623,10.446,19.611,0.995,371.58,,,,,,,,,,,,,,,,
1151,7.178,83.568,11.677,11.667,0.974,362.69,,,,,,,,,,,,,,,,
1152,7.16,146.242,12.35,12.876,1.43,357.9,,,,,,,,,,,,,,,,
1153,7.129,84.242,12.346,11.357,0.893,367.16,,,,,,,,,,,,,,,,
1154,7.126,85.21,12.028,9.471,0.93,362.26,,,,,,,,,,,,,,,,
1155,7.08,75.258,11.554,10.71,0.95,364.49,,,,,,,,,,,,,,,,
1156,7.04,73.214,11.129,14.428,0.981,366.86,,,,,,,,,,,,,,,,
1157,7.044,74.296,10.928,13.496,1.158,343.18,,,,,,,,,,,,,,,,
1158,7.104,77.859,7.477,14.257,1.143,361.08,,,,,,,,,,,,,,,,
1159,6.991,80.015,10.873,17.111,1.145,366.16,,,,,,,,,,,,,,,,
1160,6.864,91.415,15.32,18.385,1.23,364.08,,,,,,,,,,,,,,,,
1161,6.806,90.696,14.758,14.951,1.194,375.96,,,,,,,,,,,,,,,,
1162,7.038,89.841,14.8,18.993,1.193,361.8,,,,,,,,,,,,,,,,
1163,6.985,72.043,11.677,18.911,1.2,365.62,,,,,,,,,,,,,,,,
1164,6.965,84.599,5.079,21.976,1.135,367.87,,,,,,,,,,,,,,,,
1165,6.996,63.011,8.242,16.627,1.241,363.85,,,,,,,,,,,,,,,,
1166,6.981,69.386,10.216,21.002,1.227,362.02,,,,,,,,,,,,,,,,
1167,6.935,78.014,10.627,19.718,1.238,364.13,,,,,,,,,,,,,,,,
1168,6.898,79.952,10.668,20.611,1.221,368.28,,,,,,,,,,,,,,,,
1169,6.828,81.222,10.438,15.008,1.246,364.83,,,,,,,,,,,,,,,,
1170,6.827,84.587,10.424,14.707,1.263,368.59,,,,,,,,,,,,,,,,
1171,6.753,71.948,10.408,20.376,1.478,366.68,,,,,,,,,,,,,,,,
1172,6.79,70.495,10.653,31.366,1.865,360.58,,,,,,,,,,,,,,,,
1173,6.829,73.603,10.752,32.09,2.139,360.3,,,,,,,,,,,,,,,,
1174,6.822,65.002,7.202,29.992,1.656,359.81,,,,,,,,,,,,,,,,
1175,6.759,74.737,9.482,34.175,1.985,362.94,,,,,,,,,,,,,,,,
1176,6.813,76.987,10.588,30.339,1.922,360.65,,,,,,,,,,,,,,,,
1177,6.77,71.988,10.677,31.127,1.871,343.31,,,,,,,,,,,,,,,,
1178,6.707,72.474,10.593,26.99,1.861,360.54,,,,,,,,,,,,,,,,
1179,6.592,144.512,10.908,21.412,2.023,364.23,,,,,,,,,,,,,,,,
1180,6.699,75.539,10.687,22.552,1.896,361.43,,,,,,,,,,,,,,,,
1181,6.705,78.537,10.339,18.38,1.895,364.88,,,,,,,,,,,,,,,,
1182,6.793,83.975,9.248,18.01,1.788,361.43,,,,,,,,,,,,,,,,
1183,6.794,97.448,8.118,16.526,1.5,366.37,,,,,,,,,,,,,,,,
1184,6.639,102.668,6.894,20.505,1.202,363.68,,,,,,,,,,,,,,,,
1185,6.617,78.432,10.152,17.647,1.608,364.91,,,,,,,,,,,,,,,,
1186,6.738,79.028,10.147,18.611,1.456,365.44,,,,,,,,,,,,,,,,
1187,6.695,84.012,10.29,13.971,1.177,363.09,,,,,,,,,,,,,,,,
1188,6.75,80.968,9.482,16.162,1.098,369.64,,,,,,,,,,,,,,,,
1189,6.863,60.973,9.447,15.701,1.148,370.89,,,,,,,,,,,,,,,,
1190,6.843,65.675,9.683,15.04,1.21,366.26,,,,,,,,,,,,,,,,
1191,6.744,74.224,9.278,14.511,1.173,363.74,,,,,,,,,,,,,,,,
1192,6.878,76.599,8.862,12.46,1.004,357.68,,,,,,,,,,,,,,,,
1193,7.008,88.891,9.645,14.233,1.096,361.81,,,,,,,,,,,,,,,,
1194,6.944,78.619,9.405,16.141,1.461,366.03,,,,,,,,,,,,,,,,
1195,6.903,64.413,9.512,16.158,1.256,364.79,,,,,,,,,,,,,,,,
1196,6.84,71.234,9.35,16.069,1.395,365.44,,,,,,,,,,,,,,,,
1197,6.827,65.087,9.582,18.524,1.264,363.82,,,,,,,,,,,,,,,,
1198,6.75,62.631,9.657,20.606,1.327,372.24,,,,,,,,,,,,,,,,
1199,6.703,73.813,9.662,18.164,1.14,363.59,,,,,,,,,,,,,,,,
1200,6.648,77.618,8.297,17.221,1.12,365.36,,,,,,,,,,,,,,,,
1201,6.785,90.284,7.713,15.47,1.147,364.52,,,,,,,,,,,,,,,,
1202,6.795,73.435,9.816,17.5,1.499,364.67,,,,,,,,,,,,,,,,
1203,6.617,67.729,8.946,15.501,1.356,369.77,,,,,,,,,,,,,,,,
1204,6.745,74.676,9.719,13.864,1.206,364.93,,,,,,,,,,,,,,,,
1205,6.787,71.951,9.278,13.375,1.153,370.31,,,,,,,,,,,,,,,,
1206,6.751,74.786,9.878,16.737,1.134,363.57,,,,,,,,,,,,,,,,
1207,6.778,78.275,9.896,14.984,1.132,366.06,,,,,,,,,,,,,,,,
1208,6.725,75.986,8.878,15.253,1.214,363.01,,,,,,,,,,,,,,,,
1209,6.703,82.589,8.725,17.52,1.288,363.55,,,,,,,,,,,,,,,,
1210,6.721,137.288,8.846,19.068,1.719,362.36,,,,,,,,,,,,,,,,
1211,6.706,73.759,10.484,22.692,1.372,364.58,,,,,,,,,,,,,,,,
1212,6.733,69.195,10.509,19.973,1.299,370.4,,,,,,,,,,,,,,,,
1213,6.728,67.958,10.321,22.655,1.109,363.85,,,,,,,,,,,,,,,,
1214,6.693,65.647,10.015,19.675,1.268,286.2,,,,,,,,,,,,,,,,
1215,6.684,67.687,10.264,20.678,1.22,361.67,,,,,,,,,,,,,,,,
1216,6.558,76.921,10.357,19.276,1.322,365.44,,,,,,,,,,,,,,,,
1217,6.455,96.777,10.001,17.499,1.221,362.43,,,,,,,,,,,,,,,,
1218,6.46,66.684,5.265,19.2,1.357,362.8,,,,,,,,,,,,,,,,
1219,6.458,70.765,,18.516,1.53,364.49,,,,,,,,,,,,,,,,
1220,6.532,67.268,,17.23,1.483,365.3,,,,,,,,,,,,,,,,
1221,6.509,68.595,,15.017,1.321,367.65,,,,,,,,,,,,,,,,
1222,6.434,62.652,,17.942,1.429,358.87,,,,,,,,,,,,,,,,
1223,6.375,81.094,,22.955,1.514,367.09,,,,,,,,,,,,,,,,
1224,6.457,73.914,,19.956,1.351,367.88,,,,,,,,,,,,,,,,
1225,6.437,68.047,0.486,24.2,1.477,362.66,,,,,,,,,,,,,,,,
1226,6.464,69.363,4.344,22.353,1.521,369.64,,,,,,,,,,,,,,,,
1227,6.606,80.146,10.687,19.469,1.636,359.45,,,,,,,,,,,,,,,,
1228,6.477,81.071,10.963,22.922,1.748,367.9,,,,,,,,,,,,,,,,
1229,6.521,93.542,11.516,21.808,1.654,368.53,,,,,,,,,,,,,,,,
1230,6.574,110.905,13.585,14.414,0.95,369.64,,,,,,,,,,,,,,,,
1231,6.554,83.96,16.278,11.204,0.875,368.94,,,,,,,,,,,,,,,,
1232,6.61,96.666,14.993,16.267,1.502,362.65,,,,,,,,,,,,,,,,
1233,6.62,91.611,10.963,19.08,1.685,363.65,,,,,,,,,,,,,,,,
1234,6.66,89.45,10.807,17.084,1.226,363.47,,,,,,,,,,,,,,,,
1235,6.645,86.145,10.259,15.268,1.265,368.6,,,,,,,,,,,,,,,,
1236,6.54,94.739,10.874,12.627,1.09,363.04,,,,,,,,,,,,,,,,
1237,6.382,137.643,10.883,19.365,1.274,369.46,,,,,,,,,,,,,,,,
1238,6.225,494.055,11.077,25.41,1.773,365.48,,,,,,,,,,,,,,,,
1239,6.25,80.325,10.304,17.819,1.355,366.62,,,,,,,,,,,,,,,,
1240,6.457,127.153,10.519,21.735,1.907,363.45,,,,,,,,,,,,,,,,
1241,6.47,53.685,10.378,18.895,1.546,361.52,,,,,,,,,,,,,,,,
1242,6.5,85.479,8.715,17.629,1.341,359.95,,,,,,,,,,,,,,,,
1243,6.393,94.068,10.385,19.781,1.627,359.02,,,,,,,,,,,,,,,,
1244,6.217,105.225,10.716,21.49,1.749,368.2,,,,,,,,,,,,,,,,
1245,6.196,80.646,8.702,21.325,1.275,359.74,,,,,,,,,,,,,,,,
1246,6.218,80.413,9.487,17.574,0.953,352.96,,,,,,,,,,,,,,,,
1247,6.244,116.981,10.958,19.119,1.332,360.53,,,,,,,,,,,,,,,,
1248,6.183,118.536,10.29,25.903,1.686,362.58,,,,,,,,,,,,,,,,
1249,6.159,108.625,11.436,27.63,1.761,365.36,,,,,,,,,,,,,,,,
1250,6.204,86.854,10.973,18.396,1.728,364.17,,,,,,,,,,,,,,,,
1251,6.149,85.092,9.995,24.585,1.232,366.76,,,,,,,,,,,,,,,,
1252,6.177,85.354,11.167,13.623,0.96,364.63,,,,,,,,,,,,,,,,
1253,6.179,111.282,11.59,16.852,1.332,363.34,,,,,,,,,,,,,,,,
1254,6.302,91.546,9.165,16.118,1.193,366.17,,,,,,,,,,,,,,,,
1255,6.308,92.552,8.899,15.925,1.297,363.88,,,,,,,,,,,,,,,,
1256,6.303,109.935,10.577,17.962,1.376,368.27,,,,,,,,,,,,,,,,
1257,6.281,120.062,11.093,15.692,1.213,365.2,,,,,,,,,,,,,,,,
1258,6,87.764,10.839,17.039,1.376,366.87,,,,,,,,,,,,,,,,
1259,6.434,105.247,11.378,19.543,1.347,364.63,,,,,,,,,,,,,,,,
1260,6.14,104.714,11.518,22.105,1.235,371.15,,,,,,,,,,,,,,,,
1261,6.025,82.215,11.071,14.987,1.16,361.91,,,,,,,,,,,,,,,,
1262,6.481,85.093,10.187,16.981,1.183,363.19,,,,,,,,,,,,,,,,
1263,6.938,65.873,9.894,14.618,1.192,364.74,,,,,,,,,,,,,,,,
1264,6.727,64.953,11.347,13.556,1.186,345.96,,,,,,,,,,,,,,,,
1265,6.663,96.866,11.997,16.963,1.109,368.14,,,,,,,,,,,,,,,,
1266,6.675,86.617,12.54,14.166,1.206,370.72,,,,,,,,,,,,,,,,
1267,6.544,72.874,8.38,22.016,1.287,361.02,,,,,,,,,,,,,,,,
1268,6.542,74.679,9.728,21.771,1.484,365.04,,,,,,,,,,,,,,,,
1269,6.635,71.965,9.882,20.134,1.422,367.91,,,,,,,,,,,,,,,,
1270,6.644,71.637,11.018,20.934,1.402,369.16,,,,,,,,,,,,,,,,
1271,6.622,112.465,8.268,18.822,1.609,358.8,,,,,,,,,,,,,,,,
1272,6.735,52.903,8.817,23.204,1.356,359.07,,,,,,,,,,,,,,,,
1273,6.735,58.36,9.071,20.254,1.386,367.47,,,,,,,,,,,,,,,,
1274,6.753,77.828,9.888,20.189,1.332,362.7,,,,,,,,,,,,,,,,
1275,6.667,36.554,7.401,20.079,1.041,366.09,,,,,,,,,,,,,,,,
1276,6.822,39.009,8.016,15.348,1.157,364.98,,,,,,,,,,,,,,,,
1277,6.821,58.063,8.538,16.778,1.167,361.54,,,,,,,,,,,,,,,,
1278,6.831,64.056,8.915,15.929,1.068,370.26,,,,,,,,,,,,,,,,
1279,6.861,57.676,9.022,14.254,1.156,374.04,,,,,,,,,,,,,,,,
1280,6.752,67.599,9.373,17.54,1.196,368.35,,,,,,,,,,,,,,,,
1281,6.773,62.207,10.059,18.105,1.303,360.73,,,,,,,,,,,,,,,,
1282,6.699,56.832,8.988,23.56,1.24,368.75,,,,,,,,,,,,,,,,
1283,6.725,64.931,10.995,20.341,1.475,368.53,,,,,,,,,,,,,,,,
1284,6.638,72.605,9.974,16.602,1.362,366.44,,,,,,,,,,,,,,,,
1285,6.562,94.84,10.167,21.832,1.302,369.92,,,,,,,,,,,,,,,,
1286,6.536,100.776,11.288,15.671,1.332,367.15,,,,,,,,,,,,,,,,
1287,6.53,97.962,10.745,16.333,1.428,363.99,,,,,,,,,,,,,,,,
1288,6.599,112.958,11.852,21.435,1.864,363.53,,,,,,,,,,,,,,,,
1289,6.497,121.641,13.221,20.329,1.778,362.6,,,,,,,,,,,,,,,,
1290,6.526,101.003,11.427,20.278,1.565,361.86,,,,,,,,,,,,,,,,
1291,6.49,92.575,11.012,31.822,1.585,363.95,,,,,,,,,,,,,,,,
1292,6.435,102.887,12.057,20.452,1.622,365.99,,,,,,,,,,,,,,,,
1293,6.35,102.833,12.088,19.446,1.606,367.19,,,,,,,,,,,,,,,,
1294,6.306,123.711,12.384,20.164,1.758,369.95,,,,,,,,,,,,,,,,
1295,6.26,117.971,10.017,21.194,1.676,367.3,,,,,,,,,,,,,,,,
1296,6.596,125.881,12.1,22.042,1.827,364.65,,,,,,,,,,,,,,,,
1297,6.575,112.746,11.822,22.183,1.714,366.33,,,,,,,,,,,,,,,,
1298,6.574,103.189,11.557,23.464,1.708,368.51,,,,,,,,,,,,,,,,
1299,6.557,136.106,11.094,19.299,1.846,366.84,,,,,,,,,,,,,,,,
1300,6.362,80.34,9.745,16.898,1.546,370.72,,,,,,,,,,,,,,,,
1301,6.303,87.965,9.456,19.929,1.46,363.91,,,,,,,,,,,,,,,,
1302,6.381,92.069,9.544,18.8,1.354,362.33,,,,,,,,,,,,,,,,
1303,6.364,73.061,8.644,30.95,1.676,366.69,,,,,,,,,,,,,,,,
1304,6.586,94.534,9.913,18.817,1.363,361.43,,,,,,,,,,,,,,,,
1305,6.566,82.461,7.428,18.039,1.311,366.1,,,,,,,,,,,,,,,,
1306,6.356,73.378,6.358,22.033,1.37,360.82,,,,,,,,,,,,,,,,
1307,6.34,75.787,10.351,19.538,1.552,365.32,,,,,,,,,,,,,,,,
